group_label,support_count,n_total_customers,n_with_trait,churned_with_trait,churn_rate_with,churn_rate_with_wilson_lower,churn_rate_with_wilson_upper,n_without_trait,churned_without_trait,churn_rate_without,churn_rate_without_wilson_lower,churn_rate_without_wilson_upper,lift,note
sequence A -> E,354,600,354,100,0.2825,0.2381,0.3315,246,106,0.4309,0.3705,0.4934,0.6556,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> B,317,600,317,85,0.2681,0.2224,0.3195,283,121,0.4276,0.3713,0.4858,0.6271,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> C,351,600,351,94,0.2678,0.2242,0.3165,249,112,0.4498,0.3892,0.5119,0.5954,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> E -> C,157,600,157,34,0.2166,0.1593,0.2873,443,172,0.3883,0.3440,0.4344,0.5578,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> C,353,600,353,91,0.2578,0.2149,0.3059,247,115,0.4656,0.4044,0.5278,0.5537,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> E -> B,158,600,158,34,0.2152,0.1583,0.2856,442,172,0.3891,0.3448,0.4354,0.5530,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> D,338,600,338,85,0.2515,0.2082,0.3003,262,121,0.4618,0.4025,0.5223,0.5445,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> D,333,600,333,83,0.2492,0.2058,0.2984,267,123,0.4607,0.4019,0.5206,0.5411,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> E -> B,154,600,154,32,0.2078,0.1512,0.2786,446,174,0.3901,0.3460,0.4362,0.5326,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> A,318,600,318,77,0.2421,0.1983,0.2921,282,129,0.4574,0.4003,0.5158,0.5293,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> E -> C,162,600,162,33,0.2037,0.1489,0.2722,438,173,0.3950,0.3503,0.4415,0.5157,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> E -> E,156,600,156,31,0.1987,0.1437,0.2682,444,175,0.3941,0.3498,0.4403,0.5042,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> A,327,600,327,76,0.2324,0.1899,0.2811,273,130,0.4762,0.4177,0.5354,0.4881,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> D -> B,168,600,168,32,0.1905,0.1383,0.2565,432,174,0.4028,0.3576,0.4497,0.4729,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> C -> E,180,600,180,34,0.1889,0.1384,0.2523,420,172,0.4095,0.3635,0.4572,0.4612,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> E -> E,159,600,159,29,0.1824,0.1301,0.2497,441,177,0.4014,0.3567,0.4478,0.4544,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> B -> B,130,600,130,23,0.1769,0.1209,0.2515,470,183,0.3894,0.3463,0.4342,0.4544,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> C -> E,179,600,179,33,0.1844,0.1344,0.2476,421,173,0.4109,0.3649,0.4585,0.4486,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> C -> C,170,600,170,30,0.1765,0.1265,0.2407,430,176,0.4093,0.3638,0.4564,0.4311,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> C -> C,166,600,166,29,0.1747,0.1245,0.2396,434,177,0.4078,0.3626,0.4547,0.4284,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> D -> B,171,600,171,30,0.1754,0.1257,0.2394,429,176,0.4103,0.3647,0.4574,0.4276,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> E -> D,149,600,149,25,0.1678,0.1163,0.2360,451,181,0.4013,0.3571,0.4472,0.4181,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> E -> A,165,600,165,28,0.1697,0.1201,0.2343,435,178,0.4092,0.3640,0.4560,0.4147,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> A -> E,172,600,172,29,0.1686,0.1200,0.2317,428,177,0.4136,0.3679,0.4608,0.4077,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> D -> C,177,600,177,30,0.1695,0.1214,0.2316,423,176,0.4161,0.3701,0.4636,0.4074,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> E -> D,147,600,147,24,0.1633,0.1122,0.2314,453,182,0.4018,0.3576,0.4476,0.4064,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> A -> E,168,600,168,28,0.1667,0.1179,0.2303,432,178,0.4120,0.3666,0.4590,0.4045,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> D -> C,178,600,178,30,0.1685,0.1207,0.2304,422,176,0.4171,0.3710,0.4646,0.4041,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> D -> E,175,600,175,29,0.1657,0.1179,0.2279,425,177,0.4165,0.3706,0.4639,0.3979,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> A -> C,157,600,157,25,0.1592,0.1102,0.2245,443,181,0.4086,0.3638,0.4549,0.3897,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> A -> A,157,600,157,25,0.1592,0.1102,0.2245,443,181,0.4086,0.3638,0.4549,0.3897,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> E -> A,168,600,168,27,0.1607,0.1129,0.2237,432,179,0.4144,0.3689,0.4614,0.3879,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> A -> B,143,600,143,22,0.1538,0.1038,0.2220,457,184,0.4026,0.3587,0.4482,0.3821,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> C -> B,165,600,165,26,0.1576,0.1099,0.2209,435,180,0.4138,0.3685,0.4606,0.3808,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> B,268,600,268,48,0.1791,0.1378,0.2294,332,158,0.4759,0.4228,0.5296,0.3763,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> C -> D,172,600,172,27,0.1570,0.1102,0.2188,428,179,0.4182,0.3724,0.4655,0.3753,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> B -> D,140,600,140,21,0.1500,0.1003,0.2184,460,185,0.4022,0.3584,0.4476,0.3730,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> A -> A,152,600,152,23,0.1513,0.1030,0.2168,448,183,0.4085,0.3639,0.4546,0.3704,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> C -> B,163,600,163,25,0.1534,0.1061,0.2166,437,181,0.4142,0.3689,0.4609,0.3703,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> D -> E,180,600,180,28,0.1556,0.1099,0.2156,420,178,0.4238,0.3774,0.4716,0.3670,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> C,276,600,276,49,0.1775,0.1370,0.2270,324,157,0.4846,0.4307,0.5388,0.3664,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> D -> A,159,600,159,24,0.1509,0.1036,0.2148,441,182,0.4127,0.3677,0.4592,0.3657,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> A -> C,159,600,159,24,0.1509,0.1036,0.2148,441,182,0.4127,0.3677,0.4592,0.3657,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> D -> A,171,600,171,26,0.1520,0.1059,0.2135,429,180,0.4196,0.3738,0.4668,0.3624,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> A -> D,157,600,157,23,0.1465,0.0996,0.2102,443,183,0.4131,0.3682,0.4595,0.3546,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> A -> D,148,600,148,21,0.1419,0.0947,0.2072,452,185,0.4093,0.3649,0.4552,0.3467,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> E,278,600,278,47,0.1691,0.1296,0.2176,322,159,0.4938,0.4396,0.5481,0.3424,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> C -> D,173,600,173,25,0.1445,0.0998,0.2046,427,181,0.4239,0.3779,0.4712,0.3409,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> B -> C,138,600,138,19,0.1377,0.0899,0.2050,462,187,0.4048,0.3610,0.4501,0.3402,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> B -> E,155,600,155,21,0.1355,0.0904,0.1982,445,185,0.4157,0.3709,0.4621,0.3259,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> A,266,600,266,42,0.1579,0.1190,0.2065,334,164,0.4910,0.4378,0.5444,0.3216,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> E,284,600,284,46,0.1620,0.1237,0.2093,316,160,0.5063,0.4515,0.5610,0.3199,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> A -> B,147,600,147,19,0.1293,0.0843,0.1931,453,187,0.4128,0.3684,0.4587,0.3131,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> D,267,600,267,41,0.1536,0.1153,0.2017,333,165,0.4955,0.4422,0.5489,0.3099,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> C,287,600,287,45,0.1568,0.1193,0.2034,313,161,0.5144,0.4592,0.5692,0.3048,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> C,269,600,269,40,0.1487,0.1111,0.1962,331,166,0.5015,0.4479,0.5550,0.2965,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> D -> D,154,600,154,19,0.1234,0.0804,0.1847,446,187,0.4193,0.3744,0.4656,0.2943,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> C -> C,128,600,128,15,0.1172,0.0723,0.1844,472,191,0.4047,0.3613,0.4495,0.2896,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> D -> D,156,600,156,19,0.1218,0.0794,0.1824,444,187,0.4212,0.3761,0.4676,0.2892,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> B -> B,121,600,121,14,0.1157,0.0702,0.1849,479,192,0.4008,0.3579,0.4453,0.2887,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> E,289,600,289,43,0.1488,0.1124,0.1944,311,163,0.5241,0.4687,0.5790,0.2839,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> C -> A,145,600,145,17,0.1172,0.0745,0.1797,455,189,0.4154,0.3710,0.4612,0.2822,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> E -> E,125,600,125,14,0.1120,0.0679,0.1792,475,192,0.4042,0.3610,0.4489,0.2771,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> D -> B,140,600,140,16,0.1143,0.0716,0.1776,460,190,0.4130,0.3689,0.4586,0.2767,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> E -> E,133,600,133,15,0.1128,0.0695,0.1778,467,191,0.4090,0.3653,0.4542,0.2758,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> B,271,600,271,38,0.1402,0.1039,0.1866,329,168,0.5106,0.4568,0.5642,0.2746,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> D,276,600,276,38,0.1377,0.1020,0.1833,324,168,0.5185,0.4642,0.5724,0.2655,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> A,268,600,268,36,0.1343,0.0986,0.1804,332,170,0.5120,0.4585,0.5654,0.2623,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> D -> C,140,600,140,15,0.1071,0.0660,0.1693,460,191,0.4152,0.3711,0.4608,0.2580,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> C -> D,125,600,125,13,0.1040,0.0618,0.1698,475,193,0.4063,0.3631,0.4511,0.2560,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> E -> D,126,600,126,13,0.1032,0.0613,0.1685,474,193,0.4072,0.3639,0.4520,0.2534,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> E -> C,135,600,135,14,0.1037,0.0628,0.1666,465,192,0.4129,0.3690,0.4582,0.2512,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> C -> C,144,600,144,15,0.1042,0.0641,0.1648,456,191,0.4189,0.3744,0.4646,0.2487,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> C -> E,152,600,152,16,0.1053,0.0658,0.1641,448,190,0.4241,0.3792,0.4703,0.2482,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> C -> A,160,600,160,17,0.1062,0.0674,0.1636,440,189,0.4295,0.3841,0.4762,0.2474,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> D -> A,129,600,129,13,0.1008,0.0598,0.1648,471,193,0.4098,0.3663,0.4547,0.2459,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> B -> C,130,600,130,13,0.1000,0.0594,0.1636,470,193,0.4106,0.3671,0.4557,0.2435,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> D -> B,140,600,140,14,0.1000,0.0605,0.1609,460,192,0.4174,0.3732,0.4630,0.2396,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> B,261,600,261,31,0.1188,0.0849,0.1637,339,175,0.5162,0.4631,0.5689,0.2301,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> A -> B,129,600,129,12,0.0930,0.0540,0.1556,471,194,0.4119,0.3683,0.4569,0.2258,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> E -> B,129,600,129,12,0.0930,0.0540,0.1556,471,194,0.4119,0.3683,0.4569,0.2258,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> A -> B,129,600,129,12,0.0930,0.0540,0.1556,471,194,0.4119,0.3683,0.4569,0.2258,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> B -> D,129,600,129,12,0.0930,0.0540,0.1556,471,194,0.4119,0.3683,0.4569,0.2258,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> C -> E,138,600,138,13,0.0942,0.0559,0.1545,462,193,0.4177,0.3736,0.4632,0.2255,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> E -> E,148,600,148,14,0.0946,0.0572,0.1525,452,192,0.4248,0.3800,0.4708,0.2227,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> C -> B,131,600,131,12,0.0916,0.0532,0.1533,469,194,0.4136,0.3700,0.4587,0.2215,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> A -> E,141,600,141,13,0.0922,0.0547,0.1514,459,193,0.4205,0.3762,0.4661,0.2193,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> C -> E,133,600,133,12,0.0902,0.0524,0.1511,467,194,0.4154,0.3716,0.4606,0.2172,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> D,270,600,270,31,0.1148,0.0821,0.1584,330,175,0.5303,0.4764,0.5835,0.2165,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> A -> A,125,600,125,11,0.0880,0.0498,0.1507,475,195,0.4105,0.3672,0.4553,0.2144,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> B -> A,136,600,136,12,0.0882,0.0512,0.1479,464,194,0.4181,0.3741,0.4635,0.2110,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> A -> C,127,600,127,11,0.0866,0.0491,0.1485,473,195,0.4123,0.3688,0.4572,0.2101,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> E -> A,127,600,127,11,0.0866,0.0491,0.1485,473,195,0.4123,0.3688,0.4572,0.2101,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> C -> D,146,600,146,13,0.0890,0.0528,0.1464,454,193,0.4251,0.3805,0.4710,0.2095,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> C -> B,121,600,121,10,0.0826,0.0455,0.1455,479,196,0.4092,0.3660,0.4538,0.2020,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> C -> C,122,600,122,10,0.0820,0.0451,0.1443,478,196,0.4100,0.3668,0.4547,0.1999,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> E -> B,123,600,123,10,0.0813,0.0448,0.1432,477,196,0.4109,0.3676,0.4556,0.1979,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> D -> D,125,600,125,10,0.0800,0.0440,0.1410,475,196,0.4126,0.3692,0.4574,0.1939,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> B -> B,126,600,126,10,0.0794,0.0437,0.1399,474,196,0.4135,0.3700,0.4584,0.1919,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> E -> C,138,600,138,11,0.0797,0.0451,0.1371,462,195,0.4221,0.3779,0.4676,0.1889,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> C -> A,129,600,129,10,0.0775,0.0426,0.1368,471,196,0.4161,0.3725,0.4612,0.1863,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> D -> D,141,600,141,11,0.0780,0.0441,0.1343,459,195,0.4248,0.3804,0.4705,0.1836,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> D -> E,143,600,143,11,0.0769,0.0435,0.1325,457,195,0.4267,0.3821,0.4725,0.1803,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> E -> D,133,600,133,10,0.0752,0.0414,0.1329,467,196,0.4197,0.3758,0.4649,0.1791,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> D -> C,144,600,144,11,0.0764,0.0432,0.1316,456,195,0.4276,0.3830,0.4735,0.1786,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> D -> D,134,600,134,10,0.0746,0.0410,0.1319,466,196,0.4206,0.3766,0.4659,0.1774,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> A,256,600,256,24,0.0938,0.0638,0.1357,344,182,0.5291,0.4763,0.5812,0.1772,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> E -> C,123,600,123,9,0.0732,0.0390,0.1332,477,197,0.4130,0.3697,0.4577,0.1772,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> C -> A,123,600,123,9,0.0732,0.0390,0.1332,477,197,0.4130,0.3697,0.4577,0.1772,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> B -> B,112,600,112,8,0.0714,0.0366,0.1346,488,198,0.4057,0.3631,0.4499,0.1760,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> E -> D,135,600,135,10,0.0741,0.0407,0.1310,465,196,0.4215,0.3774,0.4669,0.1757,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> A -> C,138,600,138,10,0.0725,0.0398,0.1283,462,196,0.4242,0.3800,0.4698,0.1708,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> D -> B,138,600,138,10,0.0725,0.0398,0.1283,462,196,0.4242,0.3800,0.4698,0.1708,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> A -> E,139,600,139,10,0.0719,0.0395,0.1274,461,196,0.4252,0.3808,0.4707,0.1692,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> D -> E,139,600,139,10,0.0719,0.0395,0.1274,461,196,0.4252,0.3808,0.4707,0.1692,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> E -> B,117,600,117,8,0.0684,0.0351,0.1291,483,198,0.4099,0.3670,0.4543,0.1668,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> A -> A,130,600,130,9,0.0692,0.0368,0.1263,470,197,0.4191,0.3754,0.4642,0.1652,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> A -> D,131,600,131,9,0.0687,0.0366,0.1254,469,197,0.4200,0.3762,0.4652,0.1636,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> E -> A,144,600,144,10,0.0694,0.0382,0.1231,456,196,0.4298,0.3852,0.4757,0.1616,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> A -> E,145,600,145,10,0.0690,0.0379,0.1223,455,196,0.4308,0.3860,0.4767,0.1601,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> C -> D,121,600,121,8,0.0661,0.0339,0.1251,479,198,0.4134,0.3701,0.4580,0.1599,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> C -> B,121,600,121,8,0.0661,0.0339,0.1251,479,198,0.4134,0.3701,0.4580,0.1599,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> B -> E,135,600,135,9,0.0667,0.0355,0.1218,465,197,0.4237,0.3795,0.4690,0.1574,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
